"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2025","12,419.60","12,330.20","12,424.40","12,326.20","122.51M","1.08%"
"01/29/2025","12,286.50","12,200.30","12,290.90","12,197.30","123.73M","1.09%"
"01/28/2025","12,154.20","11,983.50","12,183.00","11,975.00","102.21M","1.31%"
"01/27/2025","11,997.10","11,887.50","12,032.90","11,882.30","105.75M","0.12%"
"01/24/2025","11,982.60","12,040.20","12,050.30","11,933.30","105.56M","-0.07%"
"01/23/2025","11,991.50","11,873.80","12,001.30","11,860.60","121.48M","0.92%"
"01/22/2025","11,882.70","11,932.90","11,963.70","11,843.60","119.10M","-0.37%"
"01/21/2025","11,927.40","11,884.70","11,934.30","11,851.30","98.75M","-0.14%"
"01/20/2025","11,943.60","11,921.10","11,991.50","11,905.30","135.78M","0.23%"
"01/17/2025","11,916.30","11,883.10","11,940.80","11,873.50","120.72M","0.64%"
"01/16/2025","11,840.60","11,971.70","11,973.30","11,801.20","118.29M","-0.49%"
"01/15/2025","11,898.50","11,788.80","11,923.50","11,750.90","124.47M","1.25%"
"01/14/2025","11,752.10","11,746.00","11,797.20","11,721.50","120.30M","0.55%"
"01/13/2025","11,688.20","11,662.50","11,707.50","11,637.00","109.07M","-0.28%"
"01/10/2025","11,720.90","11,862.50","11,877.20","11,703.80","133.30M","-1.50%"
"01/09/2025","11,899.30","11,756.20","11,904.20","11,753.80","97.93M","0.86%"
"01/08/2025","11,798.10","11,799.90","11,871.70","11,709.40","123.03M","-0.12%"
"01/07/2025","11,811.90","11,797.10","11,866.60","11,724.60","115.31M","0.03%"
"01/06/2025","11,808.20","11,693.00","11,808.20","11,613.70","108.99M","1.34%"
"01/03/2025","11,651.60","11,682.90","11,701.80","11,635.50","71.18M","-0.22%"
"01/02/2025","11,676.90","11,610.90","11,676.90","11,456.20","105.38M","0.71%"
"12/31/2024","11,595.00","11,530.00","11,613.40","11,525.40","47.63M","0.50%"
"12/30/2024","11,536.80","11,478.40","11,600.40","11,470.80","85.85M","0.05%"
"12/27/2024","11,531.60","11,453.00","11,531.60","11,421.90","78.83M","0.50%"
"12/25/2024","11,473.90","11,470.00","11,485.70","11,446.20","30.48M","0.00%"
"12/24/2024","11,473.90","11,470.00","11,485.70","11,446.20","30.48M","0.33%"
"12/23/2024","11,435.70","11,462.40","11,474.90","11,399.10","74.79M","-0.28%"
"12/20/2024","11,467.30","11,373.70","11,489.20","11,310.50","246.52M","0.24%"
"12/19/2024","11,439.90","11,423.00","11,481.40","11,401.70","138.52M","-1.53%"
"12/18/2024","11,617.90","11,599.40","11,669.60","11,558.70","101.93M","0.26%"
